age_group,case,pr_date
70 years old and above,673,23-Jul-22
70 years old and above,659,22-Jul-22
70 years old and above,634,21-Jul-22
70 years old and above,665,20-Jul-22
70 years old and above,865,19-Jul-22
70 years old and above,498,18-Jul-22
70 years old and above,612,17-Jul-22
70 years old and above,687,16-Jul-22
70 years old and above,695,15-Jul-22
70 years old and above,815,14-Jul-22
70 years old and above,1029,13-Jul-22
70 years old and above,394,12-Jul-22
70 years old and above,333,11-Jul-22
70 years old and above,459,10-Jul-22
70 years old and above,660,9-Jul-22
70 years old and above,670,8-Jul-22
70 years old and above,670,7-Jul-22
70 years old and above,644,6-Jul-22
70 years old and above,754,5-Jul-22
70 years old and above,405,4-Jul-22
70 years old and above,467,3-Jul-22
70 years old and above,598,2-Jul-22
70 years old and above,652,1-Jul-22
70 years old and above,605,30-Jun-22
70 years old and above,615,29-Jun-22
70 years old and above,694,28-Jun-22
70 years old and above,293,27-Jun-22
70 years old and above,335,26-Jun-22
70 years old and above,392,25-Jun-22
70 years old and above,396,24-Jun-22
70 years old and above,385,23-Jun-22
70 years old and above,337,22-Jun-22
70 years old and above,388,21-Jun-22
70 years old and above,186,20-Jun-22
70 years old and above,229,19-Jun-22
70 years old and above,250,18-Jun-22
70 years old and above,302,17-Jun-22
70 years old and above,237,16-Jun-22
70 years old and above,261,15-Jun-22
70 years old and above,283,14-Jun-22
70 years old and above,172,13-Jun-22
70 years old and above,179,12-Jun-22
70 years old and above,222,11-Jun-22
70 years old and above,206,10-Jun-22
70 years old and above,219,9-Jun-22
70 years old and above,246,8-Jun-22
70 years old and above,287,7-Jun-22
70 years old and above,138,6-Jun-22
70 years old and above,170,5-Jun-22
70 years old and above,224,4-Jun-22
70 years old and above,224,3-Jun-22
70 years old and above,222,2-Jun-22
70 years old and above,252,1-Jun-22
70 years old and above,330,31-May-22
70 years old and above,177,30-May-22
70 years old and above,179,29-May-22
70 years old and above,216,28-May-22
70 years old and above,267,27-May-22
70 years old and above,283,26-May-22
70 years old and above,264,25-May-22
70 years old and above,321,24-May-22
70 years old and above,191,23-May-22
70 years old and above,220,22-May-22
70 years old and above,252,21-May-22
70 years old and above,256,20-May-22
70 years old and above,341,19-May-22
70 years old and above,367,18-May-22
70 years old and above,131,17-May-22
70 years old and above,125,16-May-22
70 years old and above,224,15-May-22
70 years old and above,213,14-May-22
70 years old and above,288,13-May-22
70 years old and above,208,12-May-22
70 years old and above,234,11-May-22
70 years old and above,279,10-May-22
70 years old and above,135,9-May-22
70 years old and above,155,8-May-22
70 years old and above,190,7-May-22
70 years old and above,209,6-May-22
70 years old and above,249,5-May-22
70 years old and above,86,4-May-22
70 years old and above,76,3-May-22
70 years old and above,85,2-May-22
70 years old and above,132,1-May-22
70 years old and above,157,30-Apr-22
70 years old and above,207,29-Apr-22
70 years old and above,170,28-Apr-22
70 years old and above,187,27-Apr-22
70 years old and above,234,26-Apr-22
70 years old and above,109,25-Apr-22
70 years old and above,156,24-Apr-22
70 years old and above,189,23-Apr-22
70 years old and above,212,22-Apr-22
70 years old and above,186,21-Apr-22
70 years old and above,201,20-Apr-22
70 years old and above,259,19-Apr-22
70 years old and above,175,18-Apr-22
70 years old and above,229,17-Apr-22
70 years old and above,120,16-Apr-22
70 years old and above,258,15-Apr-22
70 years old and above,233,14-Apr-22
70 years old and above,233,13-Apr-22
70 years old and above,285,12-Apr-22
70 years old and above,193,11-Apr-22
70 years old and above,193,10-Apr-22
70 years old and above,274,9-Apr-22
70 years old and above,287,8-Apr-22
70 years old and above,294,7-Apr-22
70 years old and above,285,6-Apr-22
70 years old and above,456,5-Apr-22
70 years old and above,247,4-Apr-22
70 years old and above,278,3-Apr-22
70 years old and above,375,2-Apr-22
70 years old and above,408,1-Apr-22
70 years old and above,379,31-Mar-22
70 years old and above,405,30-Mar-22
70 years old and above,589,29-Mar-22
70 years old and above,393,28-Mar-22
70 years old and above,398,27-Mar-22
70 years old and above,497,26-Mar-22
70 years old and above,587,25-Mar-22
70 years old and above,612,24-Mar-22
70 years old and above,642,23-Mar-22
70 years old and above,919,22-Mar-22
70 years old and above,524,21-Mar-22
70 years old and above,728,20-Mar-22
70 years old and above,989,19-Mar-22
70 years old and above,944,18-Mar-22
70 years old and above,887,17-Mar-22
70 years old and above,965,16-Mar-22
70 years old and above,1412,15-Mar-22
70 years old and above,775,14-Mar-22
70 years old and above,917,13-Mar-22
70 years old and above,1299,12-Mar-22
70 years old and above,1274,11-Mar-22
70 years old and above,1307,10-Mar-22
70 years old and above,1419,9-Mar-22
70 years old and above,1808,8-Mar-22
70 years old and above,1283,7-Mar-22
70 years old and above,1129,6-Mar-22
70 years old and above,1438,5-Mar-22
70 years old and above,1516,4-Mar-22
70 years old and above,1506,3-Mar-22
70 years old and above,1635,2-Mar-22
70 years old and above,2042,1-Mar-22
70 years old and above,1214,28-Feb-22
70 years old and above,1402,27-Feb-22
70 years old and above,1669,26-Feb-22
70 years old and above,1717,25-Feb-22
70 years old and above,1456,24-Feb-22
70 years old and above,1776,23-Feb-22
70 years old and above,2136,22-Feb-22
70 years old and above,1123,21-Feb-22
70 years old and above,1647,20-Feb-22
